,gestures,intersection
0,G1->0,0.28571428571428575
1,G4->1,0.41111111111111115
2,G3->0,0.44729344729344733
3,G8->0,0.4507042253521127
4,G6->3,0.4680232558139535
5,G4->2,0.5061728395061729
6,G2->0,0.5082212257100148
7,G2->3,0.519774011299435
8,G2->1,0.5428571428571428
9,G3->3,0.5864978902953587
10,G11->0,0.6224489795918368
11,G3->1,0.6666666666666666
12,G6->0,0.676470588235294
13,G4->0,0.6822916666666666
14,G3->2,0.7142857142857143
15,G6->1,0.8076923076923076
16,G2->2,0.8439153439153438
17,G6->2,0.8717948717948718
18,G5->0,0.9130434782608695
