,gestures,intersection
0,G3->0,0.005013945867601216
1,G1->0,0.007936507936507938
2,G3->3,0.015874845128704452
3,G3->1,0.028181019008153004
4,G2->3,0.049523747740516565
5,G2->2,0.05342683401797149
6,G4->1,0.07210502903897235
7,G4->0,0.08729085178612407
8,G3->2,0.09909013749667929
9,G2->0,0.10248615968726549
10,G6->2,0.13605425220217787
11,G6->1,0.15316546846963267
12,G2->1,0.15851227729687753
13,G4->2,0.1764273066559854
14,G6->0,0.24776294228201182
15,G6->3,0.32793749329762817
16,G11->0,0.40883952200899626
