,gestures,intersection
0,G2->1,0.02342763764044943
1,G4->2,0.025425769230769224
2,G3->0,0.0258908275862069
3,G3->2,0.028784790322580637
4,G6->0,0.02891881499999999
5,G4->0,0.030977015384615385
6,G2->2,0.031726162601626015
7,G2->3,0.03316544894366196
8,G3->3,0.035338651162790696
9,G4->1,0.03561874814814815
10,G5->0,0.03877904761904763
11,G8->0,0.03919792410714284
12,G2->0,0.042429174825174845
13,G3->1,0.042627285714285694
14,G6->1,0.04404891044776119
15,G6->2,0.05101703571428572
16,G11->0,0.05546779130434779
