,gestures,intersection
0,G11->0,0.24375
1,G4->2,0.3128205128205128
2,G4->1,0.3703703703703704
3,G4->0,0.43223443223443225
4,G2->0,0.46714456391875747
5,G1->0,0.4742268041237114
6,G2->3,0.5276190476190475
7,G5->0,0.5469613259668509
8,G6->0,0.5995525727069352
9,G2->2,0.6383890317052271
10,G3->0,0.6415770609318997
11,G8->0,0.6418439716312057
12,G3->1,0.6666666666666666
13,G6->2,0.6920289855072465
14,G3->3,0.7043478260869565
15,G2->1,0.735
16,G3->2,0.7642276422764228
17,G6->3,0.7943925233644858
18,G6->1,0.8672566371681416
