,gestures,intersection
0,G3->1,0.01151782795698925
1,G4->0,0.0118328875
2,G3->0,0.012299911111111107
3,G2->0,0.014831661354581667
4,G3->3,0.015112225352112672
5,G3->2,0.015434980891719737
6,G6->0,0.01629208058608059
7,G2->3,0.01714792326139089
8,G6->2,0.019240205298013242
9,G6->1,0.022076142857142867
10,G8->0,0.02849121276595744
11,G11->0,0.028592339805825262
12,G2->1,0.03147194636015325
13,G2->2,0.03262340069686413
14,G4->1,0.033235230769230774
15,G4->2,0.04186979999999999
16,G5->0,0.04452833838383843
