,gestures,intersection
0,G1->0,0.049553374969102476
1,G2->0,0.10914719941557925
2,G4->1,0.115591801283156
3,G3->3,0.15434522577523488
4,G4->2,0.1638093905932021
5,G2->3,0.1728336963599106
6,G11->0,0.17775871917357136
7,G6->2,0.20176846312635455
8,G3->0,0.22167148643121012
9,G2->1,0.225987850910941
10,G8->0,0.23726912530787936
11,G2->2,0.24414233210208805
12,G6->0,0.24565481454570967
13,G3->1,0.27853614426554274
14,G6->3,0.28931097801880673
15,G3->2,0.2963711503915537
16,G4->0,0.3085417699282937
17,G6->1,0.37230756044294794
18,G5->0,0.39257216405797
