,gestures,intersection
0,G3->1,[0.11840121]
1,G1->0,[0.15656566]
2,G3->0,[0.18954248]
3,G8->0,[0.19385965]
4,G2->3,[0.19532909]
5,G4->1,[0.20208333]
6,G2->0,[0.20296524]
7,G2->1,[0.20630081]
8,G6->3,[0.21705426]
9,G3->2,[0.21851852]
10,G4->0,[0.26325758]
11,G3->3,[0.27314815]
12,G4->2,[0.28378378]
13,G6->1,[0.36434109]
14,G6->0,[0.39102564]
15,G11->0,[0.4140625]
16,G2->2,[0.544]
17,G6->2,[0.57575758]
18,G5->0,[0.62429379]
