,gestures,intersection
0,G1->0,0.03614457831325301
1,G4->1,0.08130081300813008
2,G3->0,0.08928571428571429
3,G8->0,0.09792843691148777
4,G4->0,0.10666666666666667
5,G2->1,0.13037037037037036
6,G6->3,0.18918918918918917
7,G2->3,0.21495327102803738
8,G11->0,0.22741433021806853
9,G3->1,0.22839506172839505
10,G2->2,0.23418803418803416
11,G5->0,0.24774774774774774
12,G6->2,0.25
13,G3->2,0.29885057471264365
14,G3->3,0.38518518518518513
15,G6->1,0.4047619047619047
16,G4->2,0.4166666666666667
17,G2->0,0.6538461538461539
18,G6->0,0.68
