,gestures,intersection
0,G8->0,0.016922203389830498
1,G3->0,0.01875623214285715
2,G2->2,0.02466408205128203
3,G2->1,0.02481126666666669
4,G3->2,0.026684413793103445
5,G4->1,0.028796670731707323
6,G3->1,0.028943203703703718
7,G3->3,0.029545377777777763
8,G4->0,0.030933240000000008
9,G2->3,0.03189702803738318
10,G4->2,0.037947107142857144
11,G2->0,0.049129019230769205
12,G6->2,0.05181554545454547
13,G6->0,0.056398759999999985
14,G11->0,0.06310971962616824
15,G6->1,0.06422782142857143
16,G5->0,0.08312220270270271
