,gestures,intersection
0,G2->2,0.22424242424242424
1,G1->0,0.37229437229437234
2,G8->0,0.46428571428571425
3,G2->3,0.47338935574229696
4,G2->1,0.4787234042553192
5,G5->0,0.5121951219512195
6,G11->0,0.5135453474676089
7,G4->1,0.5442708333333334
8,G4->2,0.5468164794007491
9,G3->3,0.5844748858447488
10,G6->1,0.6106442577030813
11,G3->1,0.6133333333333333
12,G3->2,0.6729559748427673
13,G4->0,0.7346278317152103
14,G6->0,0.7488372093023257
15,G6->2,0.7568306010928961
16,G3->0,0.7651515151515151
17,G2->0,0.7727272727272728
18,G6->3,0.7894736842105262
