,gestures,intersection
0,G1->0,0.049783549783549784
1,G3->0,0.10606060606060606
2,G2->2,0.10909090909090909
3,G4->2,0.17228464419475656
4,G3->2,0.20440251572327042
5,G2->3,0.20915032679738563
6,G3->1,0.22333333333333336
7,G2->0,0.23484848484848486
8,G4->0,0.2491909385113269
9,G8->0,0.25793650793650796
10,G3->3,0.365296803652968
11,G11->0,0.43462897526501765
12,G2->1,0.45921985815602845
13,G6->1,0.46498599439775906
14,G5->0,0.5
15,G4->1,0.5208333333333334
16,G6->2,0.5628415300546448
17,G6->3,0.6596491228070175
18,G6->0,0.7209302325581395
