,gestures,intersection
0,G3->3,0.010977379999999995
1,G3->0,0.018369443877551014
2,G2->2,0.021819521551724147
3,G3->2,0.021982678571428587
4,G2->3,0.02301844488188977
5,G2->0,0.024645759689922463
6,G4->2,0.02747771774193549
7,G6->2,0.03018524358974359
8,G6->1,0.0321626103286385
9,G6->0,0.03596151645569621
10,G11->0,0.03623079000000003
11,G4->1,0.03946408108108107
12,G3->1,0.04255912380952379
13,G8->0,0.04274734264432029
14,G2->1,0.04380982584269661
15,G5->0,0.04440385632183908
16,G4->0,0.046910446280991745
