,gestures,intersection
0,G8->0,0.2669149596523898
1,G4->1,0.3081081081081081
2,G6->0,0.37890295358649784
3,G6->1,0.38654147104851333
4,G1->0,0.3888888888888889
5,G2->0,0.4196382428940569
6,G2->2,0.4403735632183908
7,G2->3,0.4973753280839895
8,G3->0,0.5153061224489796
9,G6->3,0.5765199161425576
10,G3->1,0.5841269841269842
11,G2->1,0.5861423220973783
12,G4->2,0.6075268817204301
13,G4->0,0.6198347107438016
14,G6->2,0.6388888888888888
15,G5->0,0.6666666666666666
16,G3->3,0.6933333333333334
17,G3->2,0.7559523809523809
18,G11->0,0.7633333333333333
