,gestures,intersection
0,G4->1,0.025690275510204082
1,G2->2,0.03321015478615073
2,G3->3,0.03352793396226415
3,G2->3,0.035245235649546826
4,G3->0,0.03604615294117648
5,G2->1,0.03741573366834171
6,G5->0,0.03878030201342281
7,G2->0,0.03878082203389832
8,G3->2,0.04018084285714284
9,G6->1,0.04184803571428571
10,G4->2,0.043437473684210526
11,G4->0,0.04734674999999999
12,G11->0,0.04804946666666665
13,G6->2,0.048158577981651365
14,G6->0,0.05046646551724139
15,G8->0,0.05200457843137254
16,G3->1,0.052172465116279036
