,gestures,intersection
0,G4->2,0.18421052631578946
1,G6->2,0.27522935779816515
2,G1->0,0.296875
3,G11->0,0.30666666666666664
4,G2->1,0.3417085427135678
5,G2->2,0.3564154786150713
6,G8->0,0.3627450980392157
7,G2->3,0.3987915407854985
8,G3->0,0.5882352941176471
9,G6->0,0.6896551724137931
10,G2->0,0.6991525423728814
11,G6->1,0.7261904761904762
12,G3->3,0.7641509433962265
13,G4->1,0.7959183673469388
14,G5->0,0.8120805369127517
15,G3->2,0.8571428571428571
16,G6->3,0.8589743589743589
17,G3->1,0.9534883720930233
18,G4->0,0.9880952380952381
