,gestures,intersection
0,G4->1,0.3197278911564626
1,G2->2,0.3346911065852003
2,G1->0,0.3828125
3,G4->2,0.39035087719298245
4,G11->0,0.4222222222222222
5,G2->3,0.4602215508559919
6,G2->1,0.47403685092127307
7,G4->0,0.5238095238095238
8,G8->0,0.5294117647058824
9,G2->0,0.5324858757062146
10,G3->3,0.569182389937107
11,G3->0,0.6196078431372549
12,G6->1,0.6309523809523809
13,G6->2,0.7033639143730888
14,G6->3,0.7521367521367521
15,G3->2,0.7571428571428571
16,G6->0,0.7758620689655173
17,G3->1,0.7829457364341086
18,G5->0,0.8053691275167786
