,gestures,intersection
0,G4->2,0.21063394683026584
1,G2->3,0.2844141069397042
2,G4->1,0.3333333333333333
3,G1->0,0.34
4,G3->3,0.4212962962962963
5,G3->2,0.452991452991453
6,G2->2,0.45765765765765765
7,G6->3,0.4730769230769231
8,G2->0,0.49920255183413076
9,G5->0,0.5058626465661642
10,G6->2,0.5481481481481482
11,G2->1,0.5588477366255143
12,G3->0,0.5972222222222222
13,G11->0,0.6144278606965174
14,G4->0,0.6639344262295082
15,G3->1,0.6775956284153005
16,G6->1,0.7386091127098321
17,G8->0,0.7551020408163266
18,G6->0,0.7873563218390803
