,gestures,intersection
0,G2->2,0.4059139784946237
1,G4->1,0.4067796610169492
2,G2->3,0.4868913857677903
3,G4->2,0.5367231638418078
4,G6->2,0.54421768707483
5,G2->0,0.5612903225806452
6,G3->1,0.5900383141762452
7,G3->3,0.6182795698924731
8,G3->0,0.6280193236714976
9,G2->1,0.6686991869918698
10,G3->2,0.68
11,G6->3,0.6952380952380953
12,G5->0,0.708542713567839
13,G6->1,0.7777777777777777
14,G6->0,0.7878787878787877
15,G4->0,0.7973856209150326
16,G11->0,0.8458781362007168
17,G1->0,0.9319727891156463
