,gestures,intersection
0,G4->0,0.1692307692307692
1,G2->0,0.182370820668693
2,G1->0,0.24378109452736316
3,G3->3,0.24940047961630696
4,G2->3,0.26024955436720143
5,G2->2,0.28728070175438597
6,G4->1,0.358974358974359
7,G5->0,0.3801916932907348
8,G2->1,0.3931203931203931
9,G4->2,0.4656862745098039
10,G3->2,0.5357142857142857
11,G8->0,0.576923076923077
12,G6->3,0.5833333333333334
13,G6->2,0.6208333333333333
14,G6->0,0.6317016317016316
15,G6->1,0.6583333333333333
16,G3->0,0.7398373983739838
17,G3->1,0.7824074074074074
