,gestures,intersection
0,G1->0,0.05263157894736842
1,G4->2,0.107981220657277
2,G3->3,0.12232415902140674
3,G3->0,0.12437810945273631
4,G2->0,0.126232741617357
5,G3->1,0.1378205128205128
6,G3->2,0.18918918918918917
7,G2->1,0.1921708185053381
8,G2->3,0.2011784511784512
9,G4->1,0.2558139534883721
10,G8->0,0.29535864978902954
11,G11->0,0.3897849462365592
12,G6->2,0.4444444444444444
13,G6->3,0.46635367762128316
14,G6->1,0.47465437788018433
15,G4->0,0.5025641025641026
16,G5->0,0.5370370370370371
17,G6->0,0.588477366255144
18,G2->2,0.5986038394415358
